response,contrast,Recombination,Map_type,QTL,Repulsion,Matrix,Allele,QTL_type,estimate,SE,df,z.ratio,p.value
QTL fixation,2 - 8,2X,Chr,2,5,GW,positive_QTL,DV,-0.129047619047585,0.00576834677914852,Inf,-22.3716818680298,7.42828536907062e-111
QTL fixation,2 - 8,20X,Peri,2,5,GW,positive_QTL,DV,-0.141666666666644,0.00576834677914856,Inf,-24.5593186558653,3.43912512988985e-133
QTL fixation,2 - 8,2X,Peri,2,5,GW,positive_QTL,DV,-0.124999999999992,0.00576834677914876,Inf,-21.6699870492943,3.93866737980275e-104
QTL fixation,2 - 8,20X,WT,2,5,GW,positive_QTL,DV,-0.120476190476164,0.00576834677914857,Inf,-20.8857398989363,7.21780593930984e-97
QTL fixation,2 - 8,2X,WT,2,5,GW,positive_QTL,DV,-0.134047619047609,0.0057683467791485,Inf,-23.2384813500059,1.86018164009862e-119
QTL fixation,2 - 8,20X,Chr,200,5,GW,positive_QTL,DV,-0.0385091999247478,0.0057683467791485,Inf,-6.67595090918448,2.45634188604755e-11
QTL fixation,2 - 8,2X,Chr,200,5,GW,positive_QTL,DV,-0.0398936874005488,0.00576834677914861,Inf,-6.91596551454852,4.64687440033032e-12
QTL fixation,2 - 8,20X,Peri,200,5,GW,positive_QTL,DV,-0.0486664230392815,0.00576834677914856,Inf,-8.4368060559745,3.26126951762079e-17
QTL fixation,2 - 8,2X,Peri,200,5,GW,positive_QTL,DV,-0.0477633909576609,0.00576834677914897,Inf,-8.28025650786337,1.22910240667184e-16
QTL fixation,2 - 8,20X,WT,200,5,GW,positive_QTL,DV,-0.0482513180450712,0.0057683467791486,Inf,-8.36484349718533,6.01947720834031e-17
QTL fixation,2 - 8,2X,WT,200,5,GW,positive_QTL,DV,-0.0436461989684244,0.00576834677914837,Inf,-7.56650053117443,3.83412617935093e-14
QTL fixation,2 - 8,20X,Chr,2,1,CV,negative_QTL,R,0.0326190476163516,0.00576834677914835,Inf,5.65483471525399,1.55996316690654e-08
QTL fixation,2 - 8,2X,Chr,2,1,CV,negative_QTL,R,0.0299999999993513,0.00576834677914863,Inf,5.20079689171862,1.98435861367544e-07
