response,contrast,Map_type,Recombination,H2,Repulsion,Matrix,Allele,QTL_type,estimate,SE,df,z.ratio,p.value
QTL AF,2 - 200,Chr,2X,8,4,GW,large_neg,DV,0.0417742099982166,0.00754599282974133,Inf,5.53594615589485,3.09552662008374e-08
QTL AF,2 - 200,Peri,2X,8,4,GW,large_neg,DV,0.0420657825040209,0.00754599282974142,Inf,5.5745855387279,2.48119868319109e-08
QTL AF,2 - 200,WT,2X,8,4,GW,large_neg,DV,0.0422826565609164,0.00754599282974146,Inf,5.60332583331716,2.10277399661228e-08
QTL AF,2 - 200,Chr,20X,2,5,GW,large_neg,DV,-0.132925972449376,0.00754599282974192,Inf,-17.6154384782157,1.87530418975815e-69
QTL AF,2 - 200,Peri,20X,2,5,GW,large_neg,DV,-0.135276736306014,0.0075459928297414,Inf,-17.9269632715315,7.2640359330691e-72
QTL AF,2 - 200,WT,20X,2,5,GW,large_neg,DV,-0.137113351034388,0.00754599282974156,Inf,-18.1703526796332,8.86268499642503e-74
QTL AF,2 - 200,Chr,2X,2,5,GW,large_neg,DV,-0.137521962492958,0.0075459928297414,Inf,-18.2245021425061,3.29864205146761e-74
QTL AF,2 - 200,Peri,2X,2,5,GW,large_neg,DV,-0.133744002788344,0.0075459928297415,Inf,-17.7238444040406,2.74495765928307e-70
QTL AF,2 - 200,WT,2X,2,5,GW,large_neg,DV,-0.143398550449895,0.00754599282974159,Inf,-19.0032714959266,1.60238148144306e-80
QTL AF,2 - 200,Chr,20X,8,5,GW,large_neg,DV,0.0183087248924507,0.0075459928297415,Inf,2.42628442744994,0.0152543098474602
QTL AF,2 - 200,Peri,20X,8,5,GW,large_neg,DV,0.0238274483860323,0.00754599282974145,Inf,3.15762934363254,0.00159057656893972
QTL AF,2 - 200,Chr,2X,8,5,GW,large_neg,DV,0.0231073608319469,0.00754599282974143,Inf,3.0622028609506,0.00219714494207723
QTL AF,2 - 200,Peri,2X,8,5,GW,large_neg,DV,0.022265754801449,0.00754599282974163,Inf,2.95067266876946,0.00317082756735844
QTL AF,2 - 200,WT,2X,8,5,GW,large_neg,DV,0.0273195808935173,0.00754599282974158,Inf,3.6204090714002,0.000294137608353054
QTL AF,2 - 200,Chr,20X,8,1,CV,med_neg,DV,0.0404333337953097,0.00754599282974154,Inf,5.3582523476496,8.40308190684801e-08
QTL AF,2 - 200,Peri,20X,8,1,CV,med_neg,DV,0.0413427929578124,0.00754599282974113,Inf,5.47877448211552,4.28281807464254e-08
QTL AF,2 - 200,WT,20X,8,1,CV,med_neg,DV,0.0381954768211783,0.00754599282974142,Inf,5.06169004966934,4.15556215139674e-07
QTL AF,2 - 200,Chr,2X,8,1,CV,med_neg,DV,0.0393842099282332,0.00754599282974138,Inf,5.21922175343268,1.79676529308477e-07
QTL AF,2 - 200,Peri,2X,8,1,CV,med_neg,DV,0.0396987083083956,0.00754599282974132,Inf,5.26089928841829,1.43352540949319e-07
QTL AF,2 - 200,WT,2X,8,1,CV,med_neg,DV,0.0389311880637811,0.00754599282974152,Inf,5.15918699396838,2.48024498497787e-07
QTL AF,2 - 200,Chr,20X,2,2,CV,med_neg,DV,-0.17210594421708,0.00754599282974198,Inf,-22.8075944544683,3.85474607509943e-115
QTL AF,2 - 200,Peri,20X,2,2,CV,med_neg,DV,-0.184054108590272,0.00754599282974134,Inf,-24.3909731619214,2.13226102653078e-131
QTL AF,2 - 200,WT,20X,2,2,CV,med_neg,DV,-0.163878427699144,0.00754599282974148,Inf,-21.7172784810026,1.40881465908741e-104
QTL AF,2 - 200,Chr,2X,2,2,CV,med_neg,DV,-0.180475056323205,0.00754599282974156,Inf,-23.9166747696719,2.05432594540503e-126
QTL AF,2 - 200,Peri,2X,2,2,CV,med_neg,DV,-0.166894171100271,0.00754599282974136,Inf,-22.1169268068322,2.17232013731839e-108
QTL AF,2 - 200,WT,2X,2,2,CV,med_neg,DV,-0.17713364170263,0.00754599282974154,Inf,-23.473868276747,7.54322337872964e-122
QTL AF,2 - 200,Chr,20X,8,2,CV,med_neg,DV,-0.110928352011131,0.00754599282974157,Inf,-14.7002991539988,6.4175574745821e-49
QTL AF,2 - 200,Peri,20X,8,2,CV,med_neg,DV,-0.108359470942148,0.00754599282974139,Inf,-14.3598693223064,9.24012108069369e-47
QTL AF,2 - 200,WT,20X,8,2,CV,med_neg,DV,-0.111989058365485,0.00754599282974153,Inf,-14.8408646671509,7.97217144825112e-50
