response,contrast,H2,Recombination,Map_type,QTL,Repulsion,Matrix,QTL_type,estimate,SE,df,z.ratio,p.value
QTL fixation,negative_QTL - positive_QTL,8,20X,WT,2,5,CV,DV,-0.361190476190265,0.00576834677914856,Inf,-62.615943530978,0
QTL fixation,negative_QTL - positive_QTL,2,2X,WT,2,5,CV,DV,-0.329047619047582,0.00576834677914854,Inf,-57.0436611469036,0
QTL fixation,negative_QTL - positive_QTL,8,2X,WT,2,5,CV,DV,-0.37404761904764,0.00576834677914854,Inf,-64.8448564846603,0
QTL fixation,negative_QTL - positive_QTL,2,20X,Chr,200,5,CV,DV,0.0552136651717328,0.00576834677914862,Inf,9.571835273725,1.05024520847592e-21
QTL fixation,negative_QTL - positive_QTL,2,2X,Chr,200,5,CV,DV,0.0480124452618281,0.00576834677914853,Inf,8.32343253623098,8.54519206308768e-17
QTL fixation,negative_QTL - positive_QTL,2,20X,Peri,200,5,CV,DV,0.054454132774315,0.00576834677914853,Inf,9.44016281600063,3.72200598577583e-21
QTL fixation,negative_QTL - positive_QTL,2,2X,Peri,200,5,CV,DV,0.0464335957216124,0.00576834677914848,Inf,8.04972334351696,8.29813978971967e-16
QTL fixation,negative_QTL - positive_QTL,2,20X,WT,200,5,CV,DV,0.0470121057615496,0.00576834677914855,Inf,8.15001378410347,3.63882793389943e-16
QTL fixation,negative_QTL - positive_QTL,2,2X,WT,200,5,CV,DV,0.0490469809972164,0.00576834677914856,Inf,8.50277954413414,1.85104227416117e-17
QTL fixation,negative_QTL - positive_QTL,2,20X,Chr,2,1,GW,DV,-0.951428571428078,0.0057683467791483,Inf,-164.939558569424,0
QTL fixation,negative_QTL - positive_QTL,8,20X,Chr,2,1,GW,DV,-0.997857142857862,0.0057683467791485,Inf,-172.988410902224,0
QTL fixation,negative_QTL - positive_QTL,2,2X,Chr,2,1,GW,DV,-0.960952380952203,0.00576834677914861,Inf,-166.590605201797,0
QTL fixation,negative_QTL - positive_QTL,8,2X,Chr,2,1,GW,DV,-0.997857142857536,0.00576834677914857,Inf,-172.988410902165,0
QTL fixation,negative_QTL - positive_QTL,2,20X,Peri,2,1,GW,DV,-0.948095238095582,0.00576834677914844,Inf,-164.36169224825,0
QTL fixation,negative_QTL - positive_QTL,8,20X,Peri,2,1,GW,DV,-0.997857142857514,0.00576834677914851,Inf,-172.988410902163,0
QTL fixation,negative_QTL - positive_QTL,2,2X,Peri,2,1,GW,DV,-0.951666666666586,0.00576834677914849,Inf,-164.980834735298,0
QTL fixation,negative_QTL - positive_QTL,8,2X,Peri,2,1,GW,DV,-0.997857142857124,0.00576834677914856,Inf,-172.988410902094,0
QTL fixation,negative_QTL - positive_QTL,2,20X,WT,2,1,GW,DV,-0.956190476190882,0.00576834677914862,Inf,-165.765081885734,0
QTL fixation,negative_QTL - positive_QTL,8,20X,WT,2,1,GW,DV,-0.99833333333358,0.00576834677914849,Inf,-173.070963233759,0
QTL fixation,negative_QTL - positive_QTL,2,2X,WT,2,1,GW,DV,-0.957380952380939,0.00576834677914848,Inf,-165.971462714707,0
QTL fixation,negative_QTL - positive_QTL,8,2X,WT,2,1,GW,DV,-0.997857142857116,0.0057683467791485,Inf,-172.988410902095,0
QTL fixation,negative_QTL - positive_QTL,2,20X,Chr,200,1,GW,DV,-0.806972304237799,0.00576834677914853,Inf,-139.896635055793,0
QTL fixation,negative_QTL - positive_QTL,8,20X,Chr,200,1,GW,DV,-0.882084487081421,0.00576834677914854,Inf,-152.918075291518,0
QTL fixation,negative_QTL - positive_QTL,2,2X,Chr,200,1,GW,DV,-0.810510251885209,0.00576834677914858,Inf,-140.509973293395,0
QTL fixation,negative_QTL - positive_QTL,8,2X,Chr,200,1,GW,DV,-0.881830806743811,0.00576834677914855,Inf,-152.874097294472,0
QTL fixation,negative_QTL - positive_QTL,2,20X,Peri,200,1,GW,DV,-0.800108587628964,0.00576834677914855,Inf,-138.706741855604,0
QTL fixation,negative_QTL - positive_QTL,8,20X,Peri,200,1,GW,DV,-0.876654488508654,0.00576834677914845,Inf,-151.976731301524,0
QTL fixation,negative_QTL - positive_QTL,2,2X,Peri,200,1,GW,DV,-0.804325686588227,0.0057683467791485,Inf,-139.437817694268,0
QTL fixation,negative_QTL - positive_QTL,8,2X,Peri,200,1,GW,DV,-0.881052218481452,0.00576834677914862,Inf,-152.739121313974,0
QTL fixation,negative_QTL - positive_QTL,2,20X,WT,200,1,GW,DV,-0.810206738862042,0.00576834677914852,Inf,-140.457356307146,0
QTL fixation,negative_QTL - positive_QTL,8,20X,WT,200,1,GW,DV,-0.882317140853401,0.00576834677914845,Inf,-152.958408125326,0
QTL fixation,negative_QTL - positive_QTL,2,2X,WT,200,1,GW,DV,-0.816211493096619,0.00576834677914851,Inf,-141.498339879126,0
QTL fixation,negative_QTL - positive_QTL,8,2X,WT,200,1,GW,DV,-0.883792867383136,0.00576834677914849,Inf,-153.214239923627,0
QTL fixation,negative_QTL - positive_QTL,2,20X,Chr,2,2,GW,DV,-0.346190476192717,0.00576834677914855,Inf,-60.0155450854876,0
QTL fixation,negative_QTL - positive_QTL,8,20X,Chr,2,2,GW,DV,-0.343809523809511,0.0057683467791485,Inf,-59.6027834270155,0
QTL fixation,negative_QTL - positive_QTL,2,2X,Chr,2,2,GW,DV,-0.369285714285544,0.00576834677914847,Inf,-64.0193331684644,0
QTL fixation,negative_QTL - positive_QTL,8,2X,Chr,2,2,GW,DV,-0.36809523809512,0.00576834677914844,Inf,-63.8129523394328,0
QTL fixation,negative_QTL - positive_QTL,2,20X,Peri,2,2,GW,DV,-0.360476190475644,0.00576834677914852,Inf,-62.4921150334957,0
QTL fixation,negative_QTL - positive_QTL,8,20X,Peri,2,2,GW,DV,-0.352857142857164,0.00576834677914865,Inf,-61.1712777277309,0
QTL fixation,negative_QTL - positive_QTL,2,2X,Peri,2,2,GW,DV,-0.375238095238133,0.00576834677914847,Inf,-65.0512373137051,0
QTL fixation,negative_QTL - positive_QTL,8,2X,Peri,2,2,GW,DV,-0.352857142857154,0.00576834677914858,Inf,-61.1712777277299,0
QTL fixation,negative_QTL - positive_QTL,2,20X,WT,2,2,GW,DV,-0.382619047618445,0.00576834677914852,Inf,-66.3307984536471,0
QTL fixation,negative_QTL - positive_QTL,8,20X,WT,2,2,GW,DV,-0.371904761904777,0.00576834677914847,Inf,-64.4733709923866,0
QTL fixation,negative_QTL - positive_QTL,2,2X,WT,2,2,GW,DV,-0.381904761904827,0.00576834677914846,Inf,-66.206969956339,0
QTL fixation,negative_QTL - positive_QTL,8,2X,WT,2,2,GW,DV,-0.370476190476194,0.00576834677914836,Inf,-64.2257139975367,0
QTL fixation,negative_QTL - positive_QTL,2,20X,Chr,200,2,GW,DV,-0.27262245217294,0.00576834677914852,Inf,-47.2618000634806,0
QTL fixation,negative_QTL - positive_QTL,8,20X,Chr,200,2,GW,DV,-0.294130592241489,0.0057683467791485,Inf,-50.9904489974002,0
QTL fixation,negative_QTL - positive_QTL,2,2X,Chr,200,2,GW,DV,-0.273636283191937,0.00576834677914848,Inf,-47.4375577038957,0
QTL fixation,negative_QTL - positive_QTL,8,2X,Chr,200,2,GW,DV,-0.29448050501263,0.00576834677914856,Inf,-51.0511098391516,0
QTL fixation,negative_QTL - positive_QTL,2,20X,Peri,200,2,GW,DV,-0.27042061887344,0.00576834677914853,Inf,-46.8800904708015,0
QTL fixation,negative_QTL - positive_QTL,8,20X,Peri,200,2,GW,DV,-0.294039015287242,0.00576834677914876,Inf,-50.9745732260975,0
QTL fixation,negative_QTL - positive_QTL,2,2X,Peri,200,2,GW,DV,-0.274745864941267,0.00576834677914837,Inf,-47.6299146810015,0
QTL fixation,negative_QTL - positive_QTL,8,2X,Peri,200,2,GW,DV,-0.293724479463642,0.00576834677914914,Inf,-50.9200453283025,0
QTL fixation,negative_QTL - positive_QTL,2,20X,WT,200,2,GW,DV,-0.275701034204688,0.0057683467791485,Inf,-47.7955027255463,0
QTL fixation,negative_QTL - positive_QTL,8,20X,WT,200,2,GW,DV,-0.298099853742455,0.00576834677914845,Inf,-51.6785597599703,0
QTL fixation,negative_QTL - positive_QTL,2,2X,WT,200,2,GW,DV,-0.276413714903048,0.00576834677914849,Inf,-47.9190529775762,0
QTL fixation,negative_QTL - positive_QTL,8,2X,WT,200,2,GW,DV,-0.297154653483082,0.00576834677914825,Inf,-51.5146999409352,0
QTL fixation,negative_QTL - positive_QTL,2,20X,Chr,2,3,GW,DV,-0.167380952381115,0.0057683467791485,Inf,-29.0171445631816,3.99898489913646e-185
QTL fixation,negative_QTL - positive_QTL,8,20X,Chr,2,3,GW,DV,-0.212619047619213,0.00576834677914849,Inf,-36.859616066737,2.05131643685309e-297
QTL fixation,negative_QTL - positive_QTL,2,2X,Chr,2,3,GW,DV,-0.187857142857508,0.00576834677914849,Inf,-32.5668948227206,1.20730922306372e-232
QTL fixation,negative_QTL - positive_QTL,8,2X,Chr,2,3,GW,DV,-0.235238095237906,0.00576834677914854,Inf,-40.7808518184528,0
QTL fixation,negative_QTL - positive_QTL,2,20X,Peri,2,3,GW,DV,-0.164523809523929,0.00576834677914851,Inf,-28.5218305734759,6.28166689280957e-179
QTL fixation,negative_QTL - positive_QTL,8,20X,Peri,2,3,GW,DV,-0.212619047618993,0.00576834677914855,Inf,-36.8596160666987,2.05131643975581e-297
QTL fixation,negative_QTL - positive_QTL,2,2X,Peri,2,3,GW,DV,-0.195476190476143,0.00576834677914842,Inf,-33.8877321285113,1.01000028366052e-251
QTL fixation,negative_QTL - positive_QTL,8,2X,Peri,2,3,GW,DV,-0.233809523809526,0.00576834677914848,Inf,-40.5331948236373,0
QTL fixation,negative_QTL - positive_QTL,2,20X,WT,2,3,GW,DV,-0.205476190476277,0.00576834677914849,Inf,-35.621331092478,6.55035274892772e-278
QTL fixation,negative_QTL - positive_QTL,8,20X,WT,2,3,GW,DV,-0.238333333333301,0.00576834677914846,Inf,-41.317441973987,0
QTL fixation,negative_QTL - positive_QTL,2,2X,WT,2,3,GW,DV,-0.196666666666619,0.0057683467791485,Inf,-34.0941129575518,9.01739067897862e-255
QTL fixation,negative_QTL - positive_QTL,8,2X,WT,2,3,GW,DV,-0.215476190476196,0.00576834677914848,Inf,-37.3549300564076,2.10872180916223e-305
QTL fixation,negative_QTL - positive_QTL,2,20X,Chr,200,3,GW,DV,-0.0208766570679278,0.00576834677914851,Inf,-3.61917510635682,0.000295543609920251
QTL fixation,negative_QTL - positive_QTL,8,20X,Chr,200,3,GW,DV,-0.0311406490080332,0.00576834677914849,Inf,-5.39853968568618,6.71855076906424e-08
QTL fixation,negative_QTL - positive_QTL,2,2X,Chr,200,3,GW,DV,-0.0225554378154232,0.00576834677914847,Inf,-3.91020836281151,9.22165391516384e-05
QTL fixation,negative_QTL - positive_QTL,8,2X,Chr,200,3,GW,DV,-0.035712908306372,0.00576834677914854,Inf,-6.19118608393436,5.97131629385633e-10
QTL fixation,negative_QTL - positive_QTL,2,20X,Peri,200,3,GW,DV,-0.019807223679961,0.00576834677914853,Inf,-3.4337782450182,0.000595230940725599
QTL fixation,negative_QTL - positive_QTL,8,20X,Peri,200,3,GW,DV,-0.0327715920370691,0.00576834677914849,Inf,-5.68127980022498,1.33690557714783e-08
QTL fixation,negative_QTL - positive_QTL,2,2X,Peri,200,3,GW,DV,-0.0244005181914574,0.00576834677914828,Inf,-4.23007130564022,2.33617248334356e-05
QTL fixation,negative_QTL - positive_QTL,8,2X,Peri,200,3,GW,DV,-0.0352029257946356,0.00576834677914894,Inf,-6.10277556853636,1.0424216870201e-09
QTL fixation,negative_QTL - positive_QTL,2,20X,WT,200,3,GW,DV,-0.0249631735836393,0.0057683467791485,Inf,-4.32761318613445,1.50733889360056e-05
