response,contrast,Map_type,Recombination,H2,Repulsion,Matrix,Allele,QTL_type,estimate,SE,df,z.ratio,p.value
QTL fixation,2 - 200,Peri,20X,8,5,GW,negative_QTL,DV,-0.0445074383776467,0.00576834677914852,Inf,-7.71580490592777,1.20221087893052e-14
QTL fixation,2 - 200,WT,20X,8,5,GW,negative_QTL,DV,-0.0485150872507754,0.00576834677914849,Inf,-8.4105704993584,4.08021231194259e-17
QTL fixation,2 - 200,Chr,2X,8,5,GW,negative_QTL,DV,-0.0462476109379081,0.00576834677914854,Inf,-8.01748104068296,1.07935737577996e-15
QTL fixation,2 - 200,Peri,2X,8,5,GW,negative_QTL,DV,-0.0498491973074049,0.00576834677914849,Inf,-8.64185168055439,5.53092016131185e-18
QTL fixation,2 - 200,WT,2X,8,5,GW,negative_QTL,DV,-0.0563366393773356,0.00576834677914842,Inf,-9.76651396566219,1.56753021407339e-22
QTL fixation,2 - 200,Chr,20X,2,1,CV,positive_QTL,DV,0.149279691586782,0.00576834677914822,Inf,25.8791118672698,1.14462610403126e-147
QTL fixation,2 - 200,Peri,20X,2,1,CV,positive_QTL,DV,0.145656891166493,0.00576834677914835,Inf,25.2510635617503,1.10250586856225e-140
QTL fixation,2 - 200,WT,20X,2,1,CV,positive_QTL,DV,0.125830546616102,0.00576834677914847,Inf,21.8139705246149,1.70975005894549e-105
QTL fixation,2 - 200,Chr,2X,2,1,CV,positive_QTL,DV,0.129846366356967,0.00576834677914847,Inf,22.5101526188297,3.30132295161098e-112
QTL fixation,2 - 200,Peri,2X,2,1,CV,positive_QTL,DV,0.136869674432985,0.00576834677914846,Inf,23.727712579234,1.86670719170977e-124
QTL fixation,2 - 200,WT,2X,2,1,CV,positive_QTL,DV,0.131049005448259,0.00576834677914842,Inf,22.718642007096,2.93130562302146e-114
QTL fixation,2 - 200,Chr,20X,8,1,CV,positive_QTL,DV,0.11021911750097,0.00576834677914855,Inf,19.1075747906472,2.18384847061151e-81
QTL fixation,2 - 200,Peri,20X,8,1,CV,positive_QTL,DV,0.10805338555438,0.00576834677914855,Inf,18.7321237247683,2.70891052364366e-78
QTL fixation,2 - 200,WT,20X,8,1,CV,positive_QTL,DV,0.0973103193294591,0.00576834677914845,Inf,16.8697068770585,7.51684499381038e-64
QTL fixation,2 - 200,Chr,2X,8,1,CV,positive_QTL,DV,0.102605040209356,0.00576834677914857,Inf,17.7875991402342,8.81778891668869e-71
QTL fixation,2 - 200,Peri,2X,8,1,CV,positive_QTL,DV,0.102081359220541,0.00576834677914855,Inf,17.6968138582697,4.43710524062459e-70
QTL fixation,2 - 200,WT,2X,8,1,CV,positive_QTL,DV,0.0983399774172841,0.00576834677914844,Inf,17.0482082964856,3.60412837025151e-65
QTL fixation,2 - 200,Chr,20X,2,2,CV,positive_QTL,DV,0.206480374349143,0.00576834677914863,Inf,35.795416304638,1.30150552725011e-280
QTL fixation,2 - 200,Peri,20X,2,2,CV,positive_QTL,DV,0.198103981021335,0.00576834677914855,Inf,34.3432856251712,1.77406990526051e-258
QTL fixation,2 - 200,WT,20X,2,2,CV,positive_QTL,DV,0.185323384687097,0.00576834677914854,Inf,32.1276427688095,1.81310607143935e-226
QTL fixation,2 - 200,Chr,2X,2,2,CV,positive_QTL,DV,0.185722322531982,0.00576834677914853,Inf,32.1968025922666,1.95647949069518e-227
QTL fixation,2 - 200,Peri,2X,2,2,CV,positive_QTL,DV,0.199692009299916,0.00576834677914843,Inf,34.6185860430181,1.32714473150504e-262
QTL fixation,2 - 200,WT,2X,2,2,CV,positive_QTL,DV,0.185209534912158,0.00576834677914849,Inf,32.1079057836217,3.41973411752754e-226
QTL fixation,2 - 200,Chr,20X,8,2,CV,positive_QTL,DV,0.147309541692568,0.00576834677914853,Inf,25.537566885726,7.54679313621968e-144
QTL fixation,2 - 200,Peri,20X,8,2,CV,positive_QTL,DV,0.140614217673844,0.00576834677914862,Inf,24.376866207513,3.00940498580301e-131
QTL fixation,2 - 200,WT,20X,8,2,CV,positive_QTL,DV,0.135251276787439,0.00576834677914849,Inf,23.4471473310772,1.41352464006439e-121
QTL fixation,2 - 200,Chr,2X,8,2,CV,positive_QTL,DV,0.133147553369016,0.0057683467791485,Inf,23.0824460572168,6.94937034563007e-118
QTL fixation,2 - 200,Peri,2X,8,2,CV,positive_QTL,DV,0.132834136830579,0.00576834677914857,Inf,23.0281121985849,2.43780034607927e-117
QTL fixation,2 - 200,WT,2X,8,2,CV,positive_QTL,DV,0.124534077582374,0.00576834677914841,Inf,21.5892147872496,2.26833863555704e-103
QTL fixation,2 - 200,Chr,20X,2,3,CV,positive_QTL,DV,0.285723922962587,0.0057683467791485,Inf,49.533069682188,0
QTL fixation,2 - 200,Peri,20X,2,3,CV,positive_QTL,DV,0.283442480117474,0.00576834677914853,Inf,49.1375589869292,0
QTL fixation,2 - 200,WT,20X,2,3,CV,positive_QTL,DV,0.253662018668786,0.0057683467791485,Inf,43.9748212756083,0
QTL fixation,2 - 200,Chr,2X,2,3,CV,positive_QTL,DV,0.270163548623531,0.00576834677914856,Inf,46.8355247989111,0
QTL fixation,2 - 200,Peri,2X,2,3,CV,positive_QTL,DV,0.267690286921978,0.00576834677914849,Inf,46.4067604065742,0
