response,contrast,Recombination,Map_type,QTL,Repulsion,Matrix,Allele,QTL_type,estimate,SE,df,z.ratio,p.value
QTL AF,2 - 8,20X,WT,2,4,GW,med_neg,DV,-0.0541024999999933,0.00754599282974159,Inf,-7.16969936503983,7.51626386202375e-13
QTL AF,2 - 8,2X,WT,2,4,GW,med_neg,DV,-0.0540612500000027,0.00754599282974163,Inf,-7.16423288754353,7.82233277390707e-13
QTL AF,2 - 8,20X,Chr,2,5,GW,med_neg,DV,0.017973749999972,0.00754599282974151,Inf,2.38189333140245,0.0172238857783724
QTL AF,2 - 8,20X,Peri,2,5,GW,med_neg,DV,0.023135000000008,0.00754599282974158,Inf,3.06586562192642,0.00217040835507859
QTL AF,2 - 8,2X,Peri,2,5,GW,med_neg,DV,0.0270174999999981,0.00754599282974149,Inf,3.5803771100222,0.000343098678465208
QTL AF,2 - 8,20X,WT,2,5,GW,med_neg,DV,0.0226137500000022,0.00754599282974154,Inf,2.99678922445739,0.00272839286096677
QTL AF,2 - 8,2X,WT,2,5,GW,med_neg,DV,0.0176887499999992,0.00754599282974149,Inf,2.34412494142341,0.0190717813660514
QTL AF,2 - 8,20X,Chr,2,1,CV,small_neg,DV,0.0300999999994605,0.00754599282974344,Inf,3.98887206476233,6.63882121623569e-05
QTL AF,2 - 8,2X,Chr,2,1,CV,small_neg,DV,0.02866363636377,0.0075459928297432,Inf,3.79852419827246,0.000145560219873422
QTL AF,2 - 8,20X,Peri,2,1,CV,small_neg,DV,0.0293886363635845,0.00754599282974037,Inf,3.89460168153852,9.836022556091e-05
QTL AF,2 - 8,2X,Peri,2,1,CV,small_neg,DV,0.019763636363619,0.00754599282974141,Inf,2.61909026546163,0.00881646149473485
QTL AF,2 - 8,20X,WT,2,1,CV,small_neg,DV,0.0353386363635867,0.00754599282973995,Inf,4.68309964784376,2.82569058048489e-06
QTL AF,2 - 8,2X,WT,2,1,CV,small_neg,DV,0.0311886363636233,0.00754599282974126,Inf,4.13313888143367,3.57842345881508e-05
QTL AF,2 - 8,20X,Chr,2,2,CV,small_neg,DV,0.136852272727305,0.00754599282974203,Inf,18.1357544083411,1.66399854674636e-73
QTL AF,2 - 8,2X,Chr,2,2,CV,small_neg,DV,0.130099999999978,0.00754599282974141,Inf,17.2409387254131,1.30894002391566e-66
QTL AF,2 - 8,20X,Peri,2,2,CV,small_neg,DV,0.121649999999998,0.00754599282974151,Inf,16.1211390925964,1.81237544599749e-58
QTL AF,2 - 8,2X,Peri,2,2,CV,small_neg,DV,0.102640909090916,0.0075459928297414,Inf,13.6020416937546,3.89408889126347e-42
QTL AF,2 - 8,20X,WT,2,2,CV,small_neg,DV,0.101779545454541,0.00754599282974153,Inf,13.4878932104719,1.8429178258963e-41
QTL AF,2 - 8,2X,WT,2,2,CV,small_neg,DV,0.125656818181825,0.00754599282974142,Inf,16.6521253090206,2.92043788041065e-62
QTL AF,2 - 8,20X,Chr,2,3,CV,small_neg,DV,0.145624999999993,0.00754599282974146,Inf,19.2983220744701,5.54817172935277e-83
QTL AF,2 - 8,2X,Chr,2,3,CV,small_neg,DV,0.143081818181797,0.00754599282974154,Inf,18.9612979246229,3.56243507492253e-80
QTL AF,2 - 8,20X,Peri,2,3,CV,small_neg,DV,0.126084090909088,0.00754599282974149,Inf,16.7087477756598,1.13187497665702e-62
QTL AF,2 - 8,2X,Peri,2,3,CV,small_neg,DV,0.128168181818189,0.00754599282974147,Inf,16.9849328922011,1.06174996829424e-64
QTL AF,2 - 8,20X,WT,2,3,CV,small_neg,DV,0.1353,0.00754599282974159,Inf,17.9300461917658,6.87225667845042e-72
QTL AF,2 - 8,2X,WT,2,3,CV,small_neg,DV,0.116356818181827,0.00754599282974145,Inf,15.4196831095867,1.20695141064621e-53
QTL AF,2 - 8,20X,Chr,2,4,CV,small_neg,DV,0.143688636363663,0.00754599282974244,Inf,19.0417138745899,7.69673568208631e-81
QTL AF,2 - 8,2X,Chr,2,4,CV,small_neg,DV,0.128731818181797,0.00754599282974162,Inf,17.0596263588293,2.96445221916909e-65
QTL AF,2 - 8,20X,Peri,2,4,CV,small_neg,DV,0.118279545454534,0.0075459928297416,Inf,15.6744842094667,2.26052569311663e-55
QTL AF,2 - 8,2X,Peri,2,4,CV,small_neg,DV,0.131850000000011,0.00754599282974143,Inf,17.4728498919776,2.30678779577e-68
QTL AF,2 - 8,20X,WT,2,4,CV,small_neg,DV,0.124574999999991,0.00754599282974132,Inf,16.5087620424179,3.17326119652039e-61
QTL AF,2 - 8,2X,WT,2,4,CV,small_neg,DV,0.138409090909098,0.00754599282974138,Inf,18.342064991578,3.82007052523286e-75
QTL AF,2 - 8,20X,Chr,2,5,CV,small_neg,DV,0.142638636363695,0.00754599282974232,Inf,18.9025671746584,1.08635815396718e-79
QTL AF,2 - 8,2X,Chr,2,5,CV,small_neg,DV,0.137490909090885,0.00754599282974152,Inf,18.2203869249627,3.55631430098494e-74
QTL AF,2 - 8,20X,Peri,2,5,CV,small_neg,DV,0.144331818181816,0.00754599282974154,Inf,19.1269487578826,1.50637110115981e-81
QTL AF,2 - 8,2X,Peri,2,5,CV,small_neg,DV,0.145522727272735,0.00754599282974151,Inf,19.2847688244782,7.21116425836997e-83
QTL AF,2 - 8,20X,WT,2,5,CV,small_neg,DV,0.11340227272726,0.00754599282974156,Inf,15.0281447764302,4.80268953514666e-51
QTL AF,2 - 8,2X,WT,2,5,CV,small_neg,DV,0.158745454545465,0.00754599282974144,Inf,21.0370534570073,3.00478609557683e-98
QTL AF,2 - 8,2X,Chr,2,1,GW,small_neg,DV,-0.0256727272727477,0.00754599282974145,Inf,-3.40216693177369,0.000668537889949955
QTL AF,2 - 8,2X,WT,2,1,GW,small_neg,DV,-0.0164545454545426,0.00754599282974142,Inf,-2.18056733233159,0.0292154335747933
