response,contrast,Matrix,Recombination,Map_type,QTL,H2,Allele,QTL_type,estimate,SE,df,z.ratio,p.value
QTL fixation,2 - 3,CV,2X,WT,2,2,negative_QTL,DV,-0.0521428571426145,0.00576834677914851,Inf,-9.03948031195022,3.1863400806742e-14
QTL fixation,2 - 4,CV,2X,WT,2,2,negative_QTL,DV,0.0666666666666864,0.00576834677914852,Inf,11.5573264262949,0
QTL fixation,2 - 5,CV,2X,WT,2,2,negative_QTL,DV,-0.0680952380949479,0.00576834677914851,Inf,-11.8049834210903,0
QTL fixation,3 - 4,CV,2X,WT,2,2,negative_QTL,DV,0.118809523809301,0.00576834677914853,Inf,20.5968067382451,0
QTL fixation,3 - 5,CV,2X,WT,2,2,negative_QTL,DV,-0.0159523809523334,0.00576834677914852,Inf,-2.76550310914007,0.0450401628779016
QTL fixation,4 - 5,CV,2X,WT,2,2,negative_QTL,DV,-0.134761904761634,0.00576834677914855,Inf,-23.3623098473851,0
QTL fixation,1 - 2,GW,2X,WT,2,2,negative_QTL,DV,-0.236428571428426,0.00576834677914848,Inf,-40.9872326475017,0
QTL fixation,1 - 3,GW,2X,WT,2,2,negative_QTL,DV,-0.309523809523778,0.00576834677914853,Inf,-53.6590155506336,0
QTL fixation,1 - 4,GW,2X,WT,2,2,negative_QTL,DV,-0.160952380952189,0.00576834677914851,Inf,-27.9026880862991,0
QTL fixation,1 - 5,GW,2X,WT,2,2,negative_QTL,DV,-0.343571428571394,0.00576834677914852,Inf,-59.5615072612035,0
QTL fixation,2 - 3,GW,2X,WT,2,2,negative_QTL,DV,-0.0730952380953521,0.00576834677914852,Inf,-12.6717829031322,0
QTL fixation,2 - 4,GW,2X,WT,2,2,negative_QTL,DV,0.0754761904762368,0.00576834677914849,Inf,13.0845445612024,0
QTL fixation,2 - 5,GW,2X,WT,2,2,negative_QTL,DV,-0.107142857142968,0.00576834677914846,Inf,-18.5742746137022,0
QTL fixation,3 - 4,GW,2X,WT,2,2,negative_QTL,DV,0.148571428571589,0.00576834677914854,Inf,25.7563274643345,0
QTL fixation,3 - 5,GW,2X,WT,2,2,negative_QTL,DV,-0.0340476190476162,0.00576834677914854,Inf,-5.90249171056979,3.57535328010528e-08
QTL fixation,4 - 5,GW,2X,WT,2,2,negative_QTL,DV,-0.182619047619205,0.00576834677914852,Inf,-31.6588191749044,0
QTL fixation,1 - 2,CV,20X,Chr,200,2,negative_QTL,DV,-0.255539387282172,0.00576834677914854,Inf,-44.3002817039185,0
