response,contrast,Recombination,Map_type,QTL,H2,Repulsion,Allele,QTL_type,estimate,SE,df,z.ratio,p.value
QTL fixation,CV - GW,20X,WT,2,2,5,positive_QTL,DV,0.104523809524393,0.00541011292048736,Inf,19.3200790927258,3.64092227140902e-83
QTL fixation,CV - GW,2X,WT,2,2,5,positive_QTL,DV,0.112142857142772,0.00541011292048734,Inf,20.7283764296494,1.92164227337221e-95
QTL fixation,CV - GW,20X,Chr,200,2,5,positive_QTL,DV,0.0111142500914735,0.00541011292048724,Inf,2.05434715593192,0.039942103733275
QTL fixation,CV - GW,2X,Chr,200,2,5,positive_QTL,DV,0.0248182735431303,0.00541011292048731,Inf,4.58738549599346,4.48831452148682e-06
QTL fixation,CV - GW,20X,Peri,200,2,5,positive_QTL,DV,0.0252292355398422,0.00541011292048731,Inf,4.66334731097807,3.11107037528617e-06
QTL fixation,CV - GW,2X,Peri,200,2,5,positive_QTL,DV,0.0274273008819513,0.00541011292048736,Inf,5.06963556677123,3.98578151887153e-07
QTL fixation,CV - GW,20X,WT,200,2,5,positive_QTL,DV,0.0224732306344889,0.00541011292048735,Inf,4.15393005003387,3.26813118004045e-05
QTL fixation,CV - GW,2X,WT,200,2,5,positive_QTL,DV,0.0209640064740084,0.00541011292048738,Inf,3.87496652696851,0.000106639357063983
QTL fixation,CV - GW,20X,Chr,2,8,5,positive_QTL,DV,0.0628571428580331,0.00541011292048729,Inf,11.618453030805,3.32095002594567e-31
QTL fixation,CV - GW,2X,Chr,2,8,5,positive_QTL,DV,0.0469047619047393,0.00541011292048736,Inf,8.66983048119336,4.3276419651721e-18
QTL fixation,CV - GW,20X,Peri,2,8,5,positive_QTL,DV,0.0545238095236831,0.00541011292048732,Inf,10.0781278182216,6.90288180435257e-24
QTL fixation,CV - GW,2X,Peri,2,8,5,positive_QTL,DV,0.0566666666666674,0.00541011292048736,Inf,10.4742114442895,1.13479386371116e-25
QTL fixation,CV - GW,20X,WT,2,8,5,positive_QTL,DV,0.0488095238093779,0.00541011292048735,Inf,9.02190481543242,1.84846795673625e-19
QTL fixation,CV - GW,2X,WT,2,8,5,positive_QTL,DV,0.0457142857142919,0.00541011292048727,Inf,8.44978402228518,2.91842195867982e-17
QTL fixation,CV - GW,20X,Chr,2,2,1,negative_QTL,R,0.0261904761849602,0.00541011292048765,Inf,4.84102209508031,1.29173007604041e-06
QTL fixation,CV - GW,2X,Chr,2,2,1,negative_QTL,R,0.0228571428557625,0.00541011292048796,Inf,4.22489201088633,2.39055383439062e-05
QTL fixation,CV - GW,20X,Peri,2,2,1,negative_QTL,R,0.0278571428566733,0.00541011292048701,Inf,5.14908713849278,2.61757262729431e-07
QTL fixation,CV - GW,2X,Peri,2,2,1,negative_QTL,R,0.0178571428571128,0.00541011292048718,Inf,3.30069688369919,0.00096445018306664
QTL fixation,CV - GW,20X,WT,2,2,1,negative_QTL,R,0.0269047619043831,0.00541011292048756,Inf,4.97304997137814,6.5907663070868e-07
QTL fixation,CV - GW,2X,WT,2,2,1,negative_QTL,R,0.0242857142857516,0.00541011292048731,Inf,4.48894776184526,7.15758450076775e-06
QTL fixation,CV - GW,20X,Chr,2,2,2,negative_QTL,R,-0.0278571428579854,0.00541011292048748,Inf,-5.14908713873486,2.61757262391635e-07
QTL fixation,CV - GW,2X,Chr,2,2,2,negative_QTL,R,-0.0257142857140598,0.00541011292048731,Inf,-4.75300351249297,2.00416864809392e-06
QTL fixation,CV - GW,20X,Peri,2,2,2,negative_QTL,R,-0.0321428571426684,0.00541011292048734,Inf,-5.94125439063349,2.82849278570718e-09
